0 	 Reward:  -0.001 	 Win Rate:  0.0 	 Completion:  0 	 Efficiency:  0 	 Duration:  0 	 Loss:  0 	 LR:  [1e-05] 	 Epsilon:  0.95
55500 	 Reward:  1.267 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6757315397262573 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
56000 	 Reward:  1.412 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6830416917800903 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
56500 	 Reward:  1.408 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6644750237464905 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
57000 	 Reward:  1.316 	 Win Rate:  0.0 	 Completion:  47 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6758929491043091 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
57500 	 Reward:  1.657 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.671122670173645 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
58000 	 Reward:  1.275 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6940075159072876 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
58500 	 Reward:  1.424 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6676886081695557 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
59000 	 Reward:  1.461 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6920527815818787 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
59500 	 Reward:  1.383 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6770553588867188 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
60000 	 Reward:  1.342 	 Win Rate:  0.0 	 Completion:  47 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6857477426528931 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
60500 	 Reward:  1.297 	 Win Rate:  0.0 	 Completion:  47 	 Efficiency:  39 	 Duration:  0 	 Loss:  0.6723072528839111 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
61000 	 Reward:  1.436 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6916162371635437 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
61500 	 Reward:  1.402 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6759839057922363 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
62000 	 Reward:  1.439 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6679431200027466 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
62500 	 Reward:  1.249 	 Win Rate:  0.0 	 Completion:  46 	 Efficiency:  38 	 Duration:  0 	 Loss:  0.6713547706604004 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
63000 	 Reward:  1.372 	 Win Rate:  0.0 	 Completion:  49 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6798989772796631 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
63500 	 Reward:  1.262 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6683914065361023 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
64000 	 Reward:  1.66 	 Win Rate:  0.0 	 Completion:  51 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6671032905578613 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
64500 	 Reward:  1.466 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  41 	 Duration:  0 	 Loss:  0.6653559803962708 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
65000 	 Reward:  1.281 	 Win Rate:  0.0 	 Completion:  48 	 Efficiency:  40 	 Duration:  0 	 Loss:  0.6711397171020508 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
65500 	 Reward:  1.578 	 Win Rate:  0.0 	 Completion:  52 	 Efficiency:  43 	 Duration:  0 	 Loss:  0.6785802841186523 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
66000 	 Reward:  1.435 	 Win Rate:  0.0 	 Completion:  50 	 Efficiency:  42 	 Duration:  0 	 Loss:  0.6768555045127869 	 LR:  [1e-05] 	 Epsilon:  0.6302494097246091
